date,total_value
2021-09-30,50000.0
2021-10-01,50633.5
2021-10-04,49146.81
2021-10-05,50105.18
2021-10-06,50501.68
2021-10-07,51154.71
2021-10-08,50967.88
2021-10-11,50745.84
2021-10-12,50339.56
2021-10-13,50660.46
2021-10-14,52018.18
2021-10-15,52297.91
2021-10-18,52840.28
2021-10-19,53241.07
2021-10-20,53055.33
2021-10-21,53482.84
2021-10-22,53015.46
2021-10-25,53343.85
2021-10-26,54463.0
2021-10-27,54803.97
2021-10-28,55612.56
2021-10-29,55967.54
2021-11-01,55851.1
2021-11-02,56567.88
2021-11-03,57074.87
2021-11-04,59406.23
2021-11-05,59546.36
2021-11-08,60281.1
2021-11-09,60188.71
2021-11-10,58578.55
2021-11-11,59286.32
2021-11-12,59882.85
2021-11-15,59582.23
2021-11-16,59862.04
2021-11-17,59423.76
2021-11-18,61492.5
2021-11-19,62420.45
2021-11-22,61349.68
2021-11-23,61135.08
2021-11-24,61847.72
2021-11-26,59907.6
2021-11-29,62035.22
2021-11-30,61517.33
2021-12-01,60563.92
2021-12-02,61093.51
2021-12-03,59835.69
2021-12-06,59904.27
2021-12-07,62772.86
2021-12-08,62872.8
2021-12-09,61676.38
2021-12-10,62009.1
2021-12-13,60020.87
2021-12-14,59706.92
2021-12-15,62017.93
2021-12-16,59515.4
2021-12-17,58798.51
2021-12-20,58448.12
2021-12-21,60128.68
2021-12-22,60988.62
2021-12-23,61351.57
2021-12-27,62843.53
2021-12-28,62129.64
2021-12-29,61970.2
2021-12-30,61537.2
2021-12-31,61201.59
2022-01-03,62185.84
2022-01-04,61366.22
2022-01-05,58777.27
2022-01-06,59009.62
2022-01-07,58232.11
2022-01-10,58427.24
2022-01-11,59043.48
2022-01-12,59521.53
2022-01-13,57580.35
2022-01-14,58314.9
2022-01-18,56602.37
2022-01-19,55868.05
2022-01-20,54902.6
2022-01-21,53650.71
2022-01-24,53763.63
2022-01-25,52088.95
2022-01-26,53000.72
2022-01-27,52250.33
2022-01-28,53779.39
2022-01-31,55496.81
2022-02-01,55789.29
2022-02-02,57592.41
2022-02-03,55370.51
2022-02-04,55933.94
2022-02-07,55446.96
2022-02-08,56088.42
2022-02-09,57806.86
2022-02-10,56347.65
2022-02-11,54212.71
2022-02-14,54433.86
2022-02-15,56453.01
2022-02-16,56657.08
2022-02-17,54293.17
2022-02-18,53327.45
2022-02-22,52975.51
2022-02-23,51640.86
2022-02-24,53879.52
2022-02-25,54663.28
2022-02-28,54889.08
2022-03-01,53839.94
2022-03-02,54764.0
2022-03-03,53992.12
2022-03-04,52780.43
2022-03-07,50369.59
2022-03-08,50432.78
2022-03-09,52950.03
2022-03-10,52359.17
2022-03-11,51261.34
2022-03-14,50009.94
2022-03-15,52043.84
2022-03-16,54178.27
2022-03-17,54537.48
2022-03-18,56157.94
2022-03-21,56191.69
2022-03-22,56877.86
2022-03-23,55846.1
2022-03-24,58027.74
2022-03-25,57743.92
2022-03-28,58358.01
2022-03-29,59166.68
2022-03-30,58294.83
2022-03-31,57304.75
2022-04-01,57118.22
2022-04-04,58346.51
2022-04-05,56874.42
2022-04-06,54858.01
2022-04-07,54796.14
2022-04-08,53577.98
2022-04-11,51584.64
2022-04-12,51259.67
2022-04-13,52336.45
2022-04-14,50730.79
2022-04-18,51121.7
2022-04-19,51992.67
2022-04-20,51444.29
2022-04-21,50098.75
2022-04-22,48521.8
2022-04-25,49477.05
2022-04-26,47448.14
2022-04-27,47386.08
2022-04-28,49422.61
2022-04-29,47263.21
2022-05-02,48388.45
2022-05-03,48502.24
2022-05-04,50309.73
2022-05-05,47586.17
2022-05-06,47358.29
2022-05-09,45209.83
2022-05-10,46174.63
2022-05-11,44507.84
2022-05-12,43624.11
2022-05-13,45408.81
2022-05-16,44897.69
2022-05-17,46141.45
2022-05-18,43761.7
2022-05-19,43378.57
2022-05-20,42991.17
2022-05-23,44190.18
2022-05-24,42956.99
2022-05-25,43526.33
2022-05-26,44620.92
2022-05-27,46415.33
2022-05-31,46359.29
2022-06-01,46199.16
2022-06-02,47564.23
2022-06-03,46094.89
2022-06-06,46366.03
2022-06-07,46858.71
2022-06-08,46558.53
2022-06-09,45300.99
2022-06-10,43354.52
2022-06-13,41232.04
2022-06-14,41541.36
2022-06-15,42776.82
2022-06-16,41146.91
2022-06-17,41656.21
2022-06-21,43106.67
2022-06-22,42919.89
2022-06-23,43429.19
2022-06-24,45182.09
2022-06-27,44696.51
2022-06-28,43097.19
2022-06-29,43152.44
2022-06-30,42304.06
2022-07-01,42249.54
2022-07-05,42360.83
2022-07-06,42437.73
2022-07-07,42793.78
2022-07-08,42821.13
2022-07-11,42464.46
2022-07-12,42063.62
2022-07-13,42049.18
2022-07-14,42181.34
2022-07-15,42401.46
2022-07-18,42071.43
2022-07-19,42612.78
2022-07-20,42786.98
2022-07-21,43209.21
2022-07-22,42960.0
2022-07-25,42779.12
2022-07-26,42382.19
2022-07-27,43566.69
2022-07-28,44045.69
2022-07-29,44646.13
2022-08-01,44515.25
2022-08-02,44207.9
2022-08-03,45014.1
2022-08-04,45203.31
2022-08-05,45044.06
2022-08-08,44992.59
2022-08-09,45106.6
2022-08-10,45697.31
2022-08-11,45519.26
2022-08-12,46090.85
2022-08-15,46103.74
2022-08-16,46040.23
2022-08-17,46059.89
2022-08-18,45959.45
2022-08-19,45515.24
2022-08-22,44805.4
2022-08-23,44800.77
2022-08-24,44828.29
2022-08-25,45178.42
2022-08-26,44128.48
2022-08-29,43844.41
2022-08-30,43479.14
2022-08-31,43214.64
2022-09-01,43137.16
2022-09-02,42893.13
2022-09-06,42619.51
2022-09-07,43031.6
2022-09-08,42872.57
2022-09-09,43391.77
2022-09-12,43993.62
2022-09-13,42532.54
2022-09-14,42616.88
2022-09-15,41929.78
2022-09-16,41828.89
2022-09-19,42116.94
2022-09-20,42163.26
2022-09-21,41820.79
2022-09-22,41830.51
2022-09-23,41360.5
2022-09-26,41254.05
2022-09-27,41308.96
2022-09-28,41551.05
2022-09-29,40847.45
2022-09-30,40337.12
2022-10-03,41208.42
2022-10-04,41899.33
2022-10-05,41851.16
2022-10-06,41636.91
2022-10-07,40903.15
2022-10-10,40713.57
2022-10-11,40557.35
2022-10-12,40524.87
2022-10-13,41039.2
2022-10-14,40398.25
2022-10-17,40948.56
2022-10-18,41193.22
2022-10-19,40976.44
2022-10-20,40813.77
2022-10-21,41520.8
2022-10-24,41783.46
2022-10-25,42147.87
2022-10-26,42041.04
2022-10-27,41717.47
2022-10-28,42650.27
2022-10-31,42345.84
2022-11-01,42227.35
2022-11-02,41530.12
2022-11-03,40976.54
2022-11-04,41423.74
2022-11-07,41540.44
2022-11-08,41881.02
2022-11-09,41336.88
2022-11-10,43010.89
2022-11-11,43285.95
2022-11-14,43128.33
2022-11-15,43357.64
2022-11-16,43224.85
2022-11-17,43268.93
2022-11-18,43336.64
2022-11-21,43055.36
2022-11-22,43360.21
2022-11-23,43554.18
2022-11-25,43382.99
2022-11-28,42862.28
2022-11-29,42676.89
2022-11-30,43593.85
2022-12-01,43821.93
2022-12-02,43751.74
2022-12-05,43280.93
2022-12-06,42941.42
2022-12-07,42894.23
2022-12-08,43128.89
2022-12-09,43045.59
2022-12-12,43299.88
2022-12-13,43614.4
2022-12-14,43370.56
2022-12-15,42442.65
2022-12-16,42271.89
2022-12-19,42025.46
2022-12-20,42218.52
2022-12-21,42586.46
2022-12-22,42117.91
2022-12-23,42189.21
2022-12-27,42159.27
2022-12-28,41705.19
2022-12-29,42179.86
2022-12-30,42195.95
2023-01-03,41932.34
2023-01-04,42155.4
2023-01-05,41885.19
2023-01-06,42449.68
2023-01-09,42468.1
2023-01-10,42509.84
2023-01-11,42672.53
2023-01-12,42891.5
2023-01-13,43006.3
2023-01-17,42849.9
2023-01-18,42739.51
2023-01-19,42785.26
2023-01-20,42842.55
2023-01-23,42922.37
2023-01-24,43022.99
2023-01-25,43088.61
2023-01-26,43013.71
2023-01-27,42975.66
2023-01-30,42832.77
2023-01-31,43070.18
2023-02-01,43380.17
2023-02-02,43207.05
2023-02-03,42746.2
2023-02-06,42670.02
2023-02-07,42733.71
2023-02-08,42689.06
2023-02-09,42459.74
2023-02-10,42485.09
2023-02-13,42590.86
2023-02-14,42512.21
2023-02-15,42424.53
2023-02-16,42290.8
2023-02-17,42368.64
2023-02-21,42016.11
2023-02-22,41978.28
2023-02-23,42036.66
2023-02-24,41836.74
2023-02-27,41915.83
2023-02-28,41931.77
2023-03-01,41891.47
2023-03-02,41944.92
2023-03-03,42258.35
2023-03-06,42185.26
2023-03-07,41820.02
2023-03-08,41817.99
2023-03-09,41783.42
2023-03-10,42011.15
2023-03-13,42316.74
2023-03-14,42318.99
2023-03-15,42437.82
2023-03-16,42555.84
2023-03-17,42829.71
2023-03-20,42898.42
2023-03-21,42748.89
2023-03-22,42873.65
2023-03-23,43053.28
2023-03-24,43021.46
2023-03-27,42848.01
2023-03-28,42913.42
2023-03-29,42983.81
2023-03-30,43147.85
2023-03-31,43271.23
2023-04-03,43476.89
2023-04-04,43638.76
2023-04-05,43678.54
2023-04-06,43609.9
2023-04-10,43460.38
2023-04-11,43549.76
2023-04-12,43588.46
2023-04-13,43883.33
2023-04-14,43609.91
2023-04-17,43560.64
2023-04-18,43638.56
2023-04-19,43571.26
2023-04-20,43659.68
2023-04-21,43523.71
2023-04-24,43624.37
2023-04-25,43592.92
2023-04-26,43405.71
2023-04-27,43583.14
2023-04-28,43743.87
2023-05-01,43596.65
2023-05-02,43791.91
2023-05-03,43840.55
2023-05-04,43822.02
2023-05-05,43831.11
2023-05-08,43776.7
2023-05-09,43793.77
2023-05-10,43871.21
2023-05-11,43782.4
2023-05-12,43708.24
2023-05-15,43720.12
2023-05-16,43458.94
2023-05-17,43518.83
2023-05-18,43417.54
2023-05-19,43489.98
2023-05-22,43407.67
2023-05-23,43298.12
2023-05-24,43097.63
2023-05-25,42984.59
2023-05-26,43162.5
2023-05-30,43271.65
2023-05-31,43272.23
2023-06-01,43497.28
2023-06-02,43488.02
2023-06-05,43503.23
2023-06-06,43527.36
2023-06-07,43354.61
