date,fixed_total,bnh_total,eq_total
2021-03-31,50000.0,50000.0,50000.0
2021-04-01,51319.71,51319.71,51130.01
2021-04-05,52139.82,52136.66,52361.57
2021-04-06,51850.9,51844.34,52188.15
2021-04-07,52795.91,52791.3,52780.49
2021-04-08,53555.1,53548.32,53357.92
2021-04-09,54101.42,54090.14,53919.57
2021-04-12,55985.3,55995.26,54261.59
2021-04-13,57608.34,57620.67,55062.99
2021-04-14,56261.05,56270.58,54345.7
2021-04-15,58807.69,58829.51,55679.87
2021-04-16,58180.57,58198.46,55559.2
2021-04-19,56833.2,56837.86,55099.71
2021-04-20,56121.19,56125.92,54666.18
2021-04-21,56662.23,56670.03,55033.49
2021-04-22,55139.82,55140.56,54157.77
2021-04-23,56517.13,56520.98,55174.98
2021-04-26,57120.55,57127.94,55454.51
2021-04-27,56828.9,56835.04,55279.05
2021-04-28,56454.41,56460.26,55146.74
2021-04-29,56566.74,56573.84,55318.17
2021-04-30,55493.95,55499.18,54642.65
2021-05-03,55179.81,55178.83,54560.25
2021-05-04,53330.01,53329.9,53399.11
2021-05-05,53640.25,53641.81,53485.71
2021-05-06,54013.29,54012.33,53999.81
2021-05-07,54852.13,54855.64,54536.53
2021-05-10,53009.42,53009.37,53230.37
2021-05-11,52996.89,52999.93,52944.06
2021-05-12,51178.53,51177.46,51409.06
2021-05-13,51211.83,51203.57,51953.0
2021-05-14,53025.47,53023.51,53204.54
2021-05-17,52675.95,52675.16,52948.1
2021-05-18,52108.41,52107.83,52411.82
2021-05-19,52218.4,52219.26,52478.2
2021-05-20,53968.98,53975.15,53528.9
2021-05-21,54719.67,54738.31,53532.42
2021-05-24,56542.31,56570.08,54803.67
2021-05-25,56610.21,56639.21,54839.42
2021-05-26,56739.84,56770.06,54970.18
2021-05-27,55991.59,56021.06,54510.01
2021-05-28,57875.21,57922.25,55028.2
2021-06-01,57885.85,57934.09,55027.81
2021-06-02,59319.89,59377.12,55437.72
2021-06-03,59627.4,59692.28,55238.02
2021-06-04,61504.73,61576.88,56422.17
2021-06-07,61611.98,61684.96,56613.89
2021-06-08,61295.95,61363.51,56492.25
2021-06-09,61098.34,61162.98,56526.76
2021-06-10,61144.11,61212.58,56829.59
2021-06-11,62340.86,62414.84,57252.59
2021-06-14,63236.69,63307.32,57853.97
2021-06-15,62532.37,62600.13,57428.33
2021-06-16,62652.9,62719.92,57322.25
2021-06-17,65062.04,65143.04,58331.7
2021-06-18,64847.16,64930.93,57844.35
2021-06-21,64527.63,64602.57,58288.15
2021-06-22,65933.68,66014.33,58999.86
2021-06-23,66342.14,66427.06,59061.8
2021-06-24,66691.47,66780.2,59308.94
2021-06-25,66199.89,66285.65,59121.63
2021-06-28,68891.16,68993.1,60155.18
2021-06-29,69194.11,69293.25,60407.77
2021-06-30,69210.02,69307.15,60411.38
2021-07-01,69793.91,69894.73,60717.96
2021-07-02,70925.71,70946.83,61757.87
2021-07-06,71626.91,71754.94,62156.14
2021-07-07,70952.75,71211.66,62283.18
2021-07-08,69582.77,69818.02,61487.69
2021-07-09,70060.66,70434.88,61936.13
2021-07-12,71359.71,71572.18,62386.91
2021-07-13,70809.73,71023.97,62437.06
2021-07-14,70050.79,70384.37,62587.13
2021-07-15,67745.86,68006.46,61656.23
2021-07-16,65731.81,65637.47,60779.82
2021-07-19,66780.58,66775.61,60368.18
2021-07-20,66710.32,66790.77,60956.46
2021-07-21,68800.59,68791.4,61799.59
2021-07-22,69407.23,69446.18,62361.42
2021-07-23,70003.81,69568.27,63187.68
2021-07-26,69518.66,68928.78,63125.01
2021-07-27,68950.9,68430.14,62513.89
2021-07-28,70186.0,68983.65,62976.68
2021-07-29,70546.71,69481.84,63177.24
2021-07-30,70015.03,69081.4,62849.45
2021-08-02,70629.09,69697.88,62994.96
2021-08-03,70947.99,70094.67,63457.65
2021-08-04,71975.88,71248.05,63638.19
2021-08-05,73011.22,72213.61,64226.74
2021-08-06,72264.65,71416.62,63932.35
2021-08-09,72252.79,71224.26,63931.78
2021-08-10,71355.71,70222.35,63545.83
2021-08-11,70718.19,69632.82,63387.92
2021-08-12,71432.96,70546.35,64035.1
2021-08-13,72196.61,71314.45,64465.89
2021-08-16,71762.03,70939.1,64610.86
2021-08-17,70318.52,69534.17,63867.22
2021-08-18,69026.37,67966.08,62922.61
2021-08-19,70900.53,69995.95,63815.4
2021-08-20,73646.27,72849.38,65282.12
2021-08-23,76811.07,76031.73,66627.06
2021-08-24,76577.04,75587.9,66545.84
2021-08-25,77666.55,76534.18,66834.15
2021-08-26,77203.72,76052.89,66404.79
2021-08-27,78960.54,77673.14,67293.88
2021-08-30,79302.83,78366.35,67975.9
2021-08-31,78555.84,77423.12,67566.44
2021-09-01,78782.81,77653.78,67718.44
2021-09-02,78443.55,77676.18,67597.56
2021-09-03,79605.92,78928.8,68026.62
2021-09-07,79314.58,78748.46,68057.82
2021-09-08,78405.18,77706.53,67616.17
2021-09-09,77961.63,77153.46,67219.86
2021-09-10,78169.87,77314.73,66612.96
2021-09-13,77599.17,76531.04,66640.89
2021-09-14,77802.82,76590.97,66669.71
2021-09-15,78328.38,76962.77,67309.59
2021-09-16,77969.29,76673.51,67135.28
2021-09-17,76674.46,75440.07,66044.13
2021-09-20,74392.23,72991.31,64572.16
