date,ticker,shares,price,value,total_value
2021-03-31,AAPL,0.0,118.86406707763672,0.0,50000.0
2021-03-31,MSFT,0.0,226.23536682128906,0.0,50000.0
2021-03-31,GOOGL,0.0,102.28064727783203,0.0,50000.0
2021-03-31,NVDA,2628.6756,13.314689636230469,35000.0,50000.0
2021-03-31,SPY,0.0,370.1654357910156,0.0,50000.0
2021-03-31,TSM,137.7814,108.86812591552734,15000.0,50000.0
2021-03-31,ISRG,0.0,246.31333923339844,0.0,50000.0
2021-04-01,AAPL,0.0,119.691162109375,0.0,52042.18
2021-04-01,MSFT,0.0,232.54930114746094,0.0,52042.18
2021-04-01,GOOGL,0.0,105.61608123779297,0.0,52042.18
2021-04-01,NVDA,2644.2229,13.777026176452637,36429.53,52042.18
2021-04-01,SPY,0.0,374.1629638671875,0.0,52042.18
2021-04-01,TSM,135.9167,114.86930847167969,15612.66,52042.18
2021-04-01,ISRG,0.0,249.1999969482422,0.0,52042.18
2021-04-05,AAPL,0.0,122.5131607055664,0.0,52468.21
2021-04-05,MSFT,0.0,238.9974822998047,0.0,52468.21
2021-04-05,GOOGL,0.0,110.03852081298828,0.0,52468.21
2021-04-05,NVDA,2644.2229,13.952335357666016,36893.09,52468.21
2021-04-05,SPY,0.0,379.5333557128906,0.0,52468.21
2021-04-05,TSM,135.9167,114.59318542480469,15575.13,52468.21
2021-04-05,ISRG,0.0,255.30999755859375,0.0,52468.21
2021-04-06,AAPL,0.0,122.8148193359375,0.0,51878.16
2021-04-06,MSFT,0.0,237.83645629882812,0.0,51878.16
2021-04-06,GOOGL,0.0,109.55751037597656,0.0,51878.16
2021-04-06,NVDA,2644.2229,13.826650619506836,36560.75,51878.16
2021-04-06,SPY,0.0,379.3091735839844,0.0,51878.16
2021-04-06,TSM,135.9167,112.69710540771484,15317.42,51878.16
2021-04-06,ISRG,0.0,255.61666870117188,0.0,51878.16
2021-04-07,AAPL,0.0,124.45938110351562,0.0,52302.95
2021-04-07,MSFT,0.0,239.79396057128906,0.0,52302.95
2021-04-07,GOOGL,0.0,111.03380584716797,0.0,52302.95
2021-04-07,NVDA,2644.2229,14.107941627502441,37304.54,52302.95
2021-04-07,SPY,0.0,379.7481689453125,0.0,52302.95
2021-04-07,TSM,135.9167,110.35002136230469,14998.41,52302.95
2021-04-07,ISRG,0.0,253.67333984375,0.0,52302.95
2021-04-08,AAPL,0.0,126.85319519042969,0.0,53203.43
2021-04-08,MSFT,0.0,243.00845336914062,0.0,53203.43
2021-04-08,GOOGL,0.0,111.59913635253906,0.0,53203.43
2021-04-08,NVDA,2644.2229,14.281005859375,37762.16,53203.43
2021-04-08,SPY,0.0,381.5506896972656,0.0,53203.43
2021-04-08,TSM,135.9167,113.60833740234375,15441.27,53203.43
2021-04-08,ISRG,0.0,256.7833251953125,0.0,53203.43
2021-04-09,AAPL,0.0,129.42218017578125,0.0,53343.53
2021-04-09,MSFT,0.0,245.50335693359375,0.0,53343.53
2021-04-09,GOOGL,0.0,112.60283660888672,0.0,53343.53
2021-04-09,NVDA,2644.2229,14.36379623413086,37981.08,53343.53
2021-04-09,SPY,0.0,384.32464599609375,0.0,53343.53
2021-04-09,TSM,135.9167,113.02845001220703,15362.45,53343.53
2021-04-09,ISRG,0.0,261.49334716796875,0.0,53343.53
2021-04-12,AAPL,0.0,127.70953369140625,0.0,55239.64
2021-04-12,MSFT,0.0,245.56092834472656,0.0,55239.64
2021-04-12,GOOGL,0.0,111.31101989746094,0.0,55239.64
2021-04-12,NVDA,2644.2229,15.17076301574707,40114.88,55239.64
2021-04-12,SPY,0.0,384.4648132324219,0.0,55239.64
2021-04-12,TSM,135.9167,111.27964782714844,15124.76,55239.64
2021-04-12,ISRG,0.0,259.7533264160156,0.0,55239.64
2021-04-13,AAPL,0.0,130.81369018554688,0.0,56526.9
2021-04-13,MSFT,0.0,248.03656005859375,0.0,56526.9
2021-04-13,GOOGL,0.0,111.79749298095703,0.0,56526.9
2021-04-13,NVDA,2644.2229,15.640079498291016,41355.86,56526.9
2021-04-13,SPY,0.0,385.60418701171875,0.0,56526.9
2021-04-13,TSM,135.9167,111.62018585205078,15171.05,56526.9
2021-04-13,ISRG,0.0,264.8233337402344,0.0,56526.9
2021-04-14,AAPL,0.0,128.478271484375,0.0,55411.49
2021-04-14,MSFT,0.0,245.2538299560547,0.0,55411.49
2021-04-14,GOOGL,0.0,111.17662048339844,0.0,55411.49
2021-04-14,NVDA,2644.2229,15.238592147827148,40294.24,55411.49
2021-04-14,SPY,0.0,384.2872619628906,0.0,55411.49
2021-04-14,TSM,135.9167,111.22441101074219,15117.25,55411.49
2021-04-14,ISRG,0.0,261.9433288574219,0.0,55411.49
2021-04-15,AAPL,0.0,130.88182067871094,0.0,57368.95
2021-04-15,MSFT,0.0,249.00570678710938,0.0,57368.95
2021-04-15,GOOGL,0.0,113.32586669921875,0.0,57368.95
2021-04-15,NVDA,2644.2229,16.096675872802734,42563.2,57368.95
2021-04-15,SPY,0.0,388.41552734375,0.0,57368.95
2021-04-15,TSM,135.9167,108.93257141113281,14805.75,57368.95
2021-04-15,ISRG,0.0,268.239990234375,0.0,57368.95
2021-04-16,AAPL,0.0,130.5509796142578,0.0,56837.47
2021-04-16,MSFT,0.0,250.1955108642578,0.0,56837.47
2021-04-16,GOOGL,0.0,113.20188903808594,0.0,56837.47
2021-04-16,NVDA,2644.2229,15.8724946975708,41970.41,56837.47
2021-04-16,SPY,0.0,389.71368408203125,0.0,56837.47
2021-04-16,TSM,135.9167,109.3835678100586,14867.05,56837.47
2021-04-16,ISRG,0.0,270.8566589355469,0.0,56837.47
2021-04-19,AAPL,0.0,131.212646484375,0.0,54954.47
2021-04-19,MSFT,0.0,248.27642822265625,0.0,54954.47
2021-04-19,GOOGL,0.0,113.54950714111328,0.0,54954.47
2021-04-19,NVDA,2644.2229,15.323128700256348,40517.77,54954.47
2021-04-19,SPY,0.0,387.7991027832031,0.0,54954.47
2021-04-19,TSM,135.9167,106.21729278564453,14436.7,54954.47
2021-04-19,ISRG,0.0,270.39666748046875,0.0,54954.47
2021-04-20,AAPL,0.0,129.52920532226562,0.0,54395.72
2021-04-20,MSFT,0.0,247.81588745117188,0.0,54395.72
2021-04-20,GOOGL,0.0,113.01641845703125,0.0,54395.72
2021-04-20,NVDA,2644.2229,15.133110046386719,40015.32,54395.72
2021-04-20,SPY,0.0,384.9598083496094,0.0,54395.72
2021-04-20,TSM,135.9167,105.8031005859375,14380.41,54395.72
2021-04-20,ISRG,0.0,270.3699951171875,0.0,54395.72
2021-04-21,AAPL,0.0,129.90872192382812,0.0,55201.37
2021-04-21,MSFT,0.0,250.0420379638672,0.0,55201.37
2021-04-21,GOOGL,0.0,112.98369598388672,0.0,55201.37
2021-04-21,NVDA,2644.2229,15.321881294250488,40514.47,55201.37
2021-04-21,SPY,0.0,388.602294921875,0.0,55201.37
2021-04-21,TSM,135.9167,108.05814361572266,14686.9,55201.37
2021-04-21,ISRG,0.0,297.1266784667969,0.0,55201.37
2021-04-22,AAPL,0.0,128.39068603515625,0.0,53595.34
2021-04-22,MSFT,0.0,246.7699432373047,0.0,53595.34
2021-04-22,GOOGL,0.0,111.70277404785156,0.0,53595.34
2021-04-22,NVDA,2644.2229,14.812914848327637,39168.65,53595.34
2021-04-22,SPY,0.0,385.05316162109375,0.0,53595.34
2021-04-22,TSM,135.9167,106.14364624023438,14426.69,53595.34
2021-04-22,ISRG,0.0,286.5533447265625,0.0,53595.34
2021-04-23,AAPL,0.0,130.70668029785156,0.0,55105.27
2021-04-23,MSFT,0.0,250.58895874023438,0.0,55105.27
