date,fixed_total,bnh_total,eq_total
2022-03-31,50000.0,50000.0,50000.0
2022-04-01,49525.22,49525.22,49914.67
2022-04-04,50709.79,50709.79,50857.46
2022-04-05,49270.4,49077.36,49708.58
2022-04-06,47811.61,47400.52,48205.38
2022-04-07,47770.09,47306.75,48213.25
2022-04-08,46780.22,46152.68,47340.42
2022-04-11,45264.76,44523.49,45781.16
2022-04-12,45436.44,44545.56,45519.56
2022-04-13,46361.72,45529.95,46380.86
2022-04-14,44824.64,43958.64,45139.48
2022-04-18,45055.89,44308.31,45413.71
2022-04-19,45748.39,45013.06,46178.55
2022-04-20,45337.33,44455.76,45791.89
2022-04-21,44489.48,43358.9,44710.24
2022-04-22,43195.75,42074.05,43341.81
2022-04-25,43621.11,42546.02,44065.0
2022-04-26,41797.7,40684.08,42375.06
2022-04-27,41554.77,40369.57,42359.56
2022-04-28,43712.73,42587.5,44010.76
2022-04-29,41844.03,40651.7,42154.92
2022-05-02,42425.55,41432.14,42992.23
2022-05-03,42771.24,41743.06,43113.39
2022-05-04,44487.44,43401.87,44657.22
2022-05-05,41821.04,40720.27,42420.22
2022-05-06,41883.05,40722.37,42206.48
2022-05-09,39911.91,38555.5,40421.42
2022-05-10,40750.51,39451.07,41113.75
2022-05-11,38610.17,37366.89,39813.02
2022-05-12,37567.69,36356.21,39188.01
2022-05-13,39300.24,38265.18,40635.47
2022-05-16,38747.78,37670.13,40244.23
2022-05-17,39982.12,38977.56,41291.65
2022-05-18,37614.13,36621.0,39267.3
2022-05-19,37004.5,36163.73,38943.77
2022-05-20,36827.35,35887.63,38678.72
2022-05-23,38059.95,36983.81,39680.02
2022-05-24,37108.15,35963.82,38752.27
2022-05-25,37572.42,36596.9,39221.8
2022-05-26,38697.59,37801.64,40158.42
2022-05-27,40397.0,39513.81,41630.6
2022-05-31,40160.82,39274.2,41541.59
2022-06-01,39949.24,38992.25,41358.4
2022-06-02,41127.69,40358.94,42479.14
2022-06-03,39480.67,38716.84,41303.68
2022-06-06,39670.32,38895.74,41521.77
2022-06-07,40267.86,39439.31,41953.5
2022-06-08,39970.87,39108.64,41645.22
2022-06-09,38570.77,37754.49,40551.31
2022-06-10,36882.66,36018.03,38936.05
2022-06-13,35114.53,34139.43,37129.05
2022-06-14,35393.31,34429.65,37319.51
2022-06-15,36301.02,35396.95,38299.55
2022-06-16,34719.29,33793.68,36885.21
2022-06-17,35171.81,34256.53,37257.96
2022-06-21,36411.23,35501.11,38475.84
2022-06-22,36196.89,35260.02,38331.49
2022-06-23,36721.2,35660.67,38771.63
2022-06-24,37886.12,36906.27,40263.27
2022-06-27,37750.97,36716.63,39890.58
2022-06-28,36424.2,35339.17,38598.31
2022-06-29,36557.73,35321.16,38633.68
2022-06-30,35844.61,34608.54,37972.18
2022-07-01,35960.71,34517.87,38027.71
2022-07-05,36728.79,35293.85,38787.95
2022-07-06,36875.72,35649.33,39158.84
2022-07-07,37461.47,36774.14,40124.08
2022-07-08,37451.68,36877.6,40166.17
2022-07-11,37011.13,35999.64,39324.7
2022-07-12,36742.57,36117.61,38808.73
2022-07-13,36559.88,36114.72,38550.42
2022-07-14,36557.58,36778.74,38750.44
2022-07-15,37226.53,37357.76,39338.68
2022-07-18,36870.89,37076.8,38936.56
2022-07-19,37865.98,38407.54,40233.44
2022-07-20,38135.27,39358.4,40800.33
2022-07-21,38543.1,39933.46,41226.48
2022-07-22,38190.2,39178.21,40195.25
2022-07-25,38202.17,38765.23,39954.62
2022-07-26,37762.12,38171.64,39188.79
2022-07-27,38775.19,39988.31,41298.55
2022-07-28,39225.03,40227.4,41846.4
2022-07-29,39871.24,41243.5,42631.39
2022-08-01,39739.72,41277.31,42455.07
2022-08-02,39466.26,41083.04,42255.64
2022-08-03,40178.06,42402.33,43344.11
2022-08-04,40145.52,42585.1,43483.83
2022-08-05,40078.97,42378.89,43296.38
2022-08-08,40024.96,41414.04,42723.3
2022-08-09,39884.33,40900.94,42446.73
2022-08-10,40744.3,42388.06,43701.36
2022-08-11,40724.82,42145.03,43470.05
2022-08-12,41433.93,43330.31,44479.84
2022-08-15,41614.56,43755.65,44779.47
2022-08-16,41683.1,43615.3,44680.84
2022-08-17,41458.64,43474.67,44321.21
2022-08-18,41555.56,43729.23,44493.48
2022-08-19,40989.61,42596.24,43532.05
2022-08-22,40126.27,41317.2,42323.73
2022-08-23,40030.88,41367.33,42265.85
2022-08-24,40152.92,41449.06,42294.06
2022-08-25,40723.28,42387.83,43133.35
2022-08-26,39327.82,40068.42,41039.2
2022-08-29,39037.7,39345.45,40523.37
2022-08-30,38591.0,38675.98,40053.01
2022-08-31,38284.86,38110.08,39650.83
2022-09-01,38411.41,37383.31,39371.23
2022-09-02,37993.8,36800.47,38771.18
2022-09-06,37832.46,36446.59,38431.71
2022-09-07,38477.14,36878.65,39110.24
2022-09-08,38663.18,36825.03,39120.17
2022-09-09,39277.09,37617.29,39927.94
2022-09-12,39812.72,38744.04,40502.89
2022-09-13,38017.04,36084.64,38103.01
2022-09-14,38185.05,36334.62,38276.09
2022-09-15,37720.95,35683.35,37561.51
2022-09-16,37419.99,35595.39,37469.29
2022-09-19,37778.03,36379.69,37832.87
2022-09-20,37453.34,36642.82,37590.52
2022-09-21,36788.5,36160.01,37041.67
2022-09-22,36487.57,35475.21,36785.9
2022-09-23,35882.7,35045.68,36296.37
2022-09-26,35575.22,34891.45,36072.72
2022-09-27,35520.13,35197.84,36094.59
2022-09-28,36091.57,35106.85,36597.58
2022-09-29,35227.74,33463.31,35507.41
2022-09-30,34629.05,32669.26,34829.49
2022-10-03,35558.91,33673.7,35891.34
2022-10-04,36640.92,34783.34,37075.72
2022-10-05,36571.67,34865.8,37084.02
2022-10-06,36207.95,34641.08,36833.25
2022-10-07,35165.78,32947.0,35301.74
2022-10-10,34932.38,32703.95,34888.44
2022-10-11,34697.35,32394.91,34550.02
2022-10-12,34578.33,32221.63,34493.78
2022-10-13,35515.96,33358.91,35524.1
2022-10-14,34672.7,32026.99,34439.51
2022-10-17,35575.58,33206.26,35655.99
2022-10-18,35985.21,33494.46,35947.27
2022-10-19,35758.51,33575.33,35777.89
2022-10-20,35477.13,33600.25,35748.03
2022-10-21,36349.19,34466.66,36546.79
2022-10-24,36803.46,34938.82,37090.12
2022-10-25,37403.78,35923.25,37885.97
2022-10-26,37075.78,35140.88,36198.85
2022-10-27,36783.68,34566.96,35650.88
2022-10-28,37846.76,36929.48,37312.12
2022-10-31,37541.4,36269.0,36738.12
2022-11-01,37326.5,35841.46,36143.24
2022-11-02,36343.61,34638.14,34971.59
2022-11-03,35852.6,33732.16,34161.11
2022-11-04,36311.72,34228.26,34993.44
2022-11-07,36639.38,34428.08,35506.52
2022-11-08,36832.81,34749.91,35758.09
2022-11-09,36029.86,33344.61,34757.47
2022-11-10,38125.11,36863.74,37708.48
2022-11-11,38529.48,37775.93,38480.32
2022-11-14,38198.05,37508.3,38079.0
2022-11-15,38536.28,38084.58,38602.25
2022-11-16,38239.65,37311.77,38229.11
2022-11-17,38182.56,37471.46,38190.82
2022-11-18,38353.06,37371.6,38083.41
2022-11-21,38145.02,36740.05,37724.35
