date,ticker,shares,price,value,total_value
2022-03-31,AAPL,0.0,170.9226837158203,0.0,50000.0
2022-03-31,MSFT,0.0,297.6070556640625,0.0,50000.0
2022-03-31,GOOGL,74.755,137.84519958496094,10304.62,50000.0
2022-03-31,NVDA,172.5944,27.204708099365234,4695.38,50000.0
2022-03-31,SPY,0.0,426.27685546875,0.0,50000.0
2022-03-31,BOTZ,0.0,28.65237045288086,0.0,50000.0
2022-03-31,URA,1540.211,22.724159240722656,35000.0,50000.0
2022-04-01,AAPL,0.0,170.62901306152344,0.0,49861.06
2022-04-01,MSFT,0.0,298.678466796875,0.0,49861.06
2022-04-01,GOOGL,74.755,138.91867065429688,10384.87,49861.06
2022-04-01,NVDA,172.5944,26.632415771484375,4596.61,49861.06
2022-04-01,SPY,0.0,427.4850158691406,0.0,49861.06
2022-04-01,BOTZ,0.0,28.751136779785156,0.0,49861.06
2022-04-01,URA,1540.211,22.645977020263672,34879.58,49861.06
2022-04-04,AAPL,0.0,174.67184448242188,0.0,49873.88
2022-04-04,MSFT,0.0,304.0357971191406,0.0,49873.88
2022-04-04,GOOGL,103.9232,141.71490478515625,14727.47,49873.88
2022-04-04,NVDA,8.6037,27.278488159179688,234.69,49873.88
2022-04-04,SPY,0.0,431.14715576171875,0.0,49873.88
2022-04-04,BOTZ,0.0,29.007930755615234,0.0,49873.88
2022-04-04,URA,1555.3517,22.446186065673828,34911.71,49873.88
2022-04-05,AAPL,0.0,171.3631591796875,0.0,49400.23
2022-04-05,MSFT,0.0,300.0877990722656,0.0,49400.23
2022-04-05,GOOGL,103.9232,139.35533142089844,14482.25,49400.23
2022-04-05,NVDA,8.6037,25.853742599487305,222.44,49400.23
2022-04-05,SPY,0.0,425.70111083984375,0.0,49400.23
2022-04-05,BOTZ,0.0,28.15853500366211,0.0,49400.23
2022-04-05,URA,1555.3517,22.307201385498047,34695.54,49400.23
2022-04-06,AAPL,0.0,168.20138549804688,0.0,49065.26
2022-04-06,MSFT,0.0,289.10284423828125,0.0,49065.26
2022-04-06,GOOGL,103.9232,135.34783935546875,14065.78,49065.26
2022-04-06,NVDA,8.6037,24.33428192138672,209.36,49065.26
2022-04-06,SPY,0.0,421.4443054199219,0.0,49065.26
2022-04-06,BOTZ,0.0,27.319013595581055,0.0,49065.26
2022-04-06,URA,1555.3517,22.368005752563477,34790.12,49065.26
2022-04-07,AAPL,0.0,168.5048828125,0.0,51035.74
2022-04-07,MSFT,0.0,290.9079284667969,0.0,51035.74
2022-04-07,GOOGL,103.9232,134.69412231445312,13997.85,51035.74
2022-04-07,NVDA,8.6037,24.135873794555664,207.66,51035.74
2022-04-07,SPY,0.0,423.5680847167969,0.0,51035.74
2022-04-07,BOTZ,0.0,27.27950668334961,0.0,51035.74
2022-04-07,URA,1555.3517,23.679683685302734,36830.24,51035.74
2022-04-08,AAPL,0.0,166.49815368652344,0.0,51082.73
2022-04-08,MSFT,0.0,286.66070556640625,0.0,51082.73
2022-04-08,GOOGL,103.9232,132.11598205566406,13729.92,51082.73
2022-04-08,NVDA,8.6037,23.050121307373047,198.32,51082.73
2022-04-08,SPY,0.0,422.43548583984375,0.0,51082.73
2022-04-08,BOTZ,0.0,26.894311904907227,0.0,51082.73
2022-04-08,URA,1555.3517,23.88816261291504,37154.49,51082.73
2022-04-11,AAPL,0.0,162.24977111816406,0.0,50328.86
2022-04-11,MSFT,0.0,275.3572082519531,0.0,50328.86
2022-04-11,GOOGL,103.9232,127.69123077392578,13270.08,50328.86
2022-04-11,NVDA,8.6037,21.851701736450195,188.0,50328.86
2022-04-11,SPY,0.0,415.215087890625,0.0,50328.86
2022-04-11,BOTZ,0.0,25.995532989501953,0.0,50328.86
2022-04-11,URA,1555.3517,23.705745697021484,36870.77,50328.86
2022-04-12,AAPL,0.0,164.1194305419922,0.0,50346.18
2022-04-12,MSFT,0.0,272.2682189941406,0.0,50346.18
2022-04-12,GOOGL,103.9232,126.59197998046875,13155.85,50346.18
2022-04-12,NVDA,8.6037,21.439931869506836,184.46,50346.18
2022-04-12,SPY,0.0,413.6766357421875,0.0,50346.18
2022-04-12,BOTZ,0.0,25.590585708618164,0.0,50346.18
2022-04-12,URA,1555.3517,23.79261016845703,37005.88,50346.18
2022-04-13,AAPL,0.0,166.8015899658203,0.0,51860.21
2022-04-13,MSFT,0.0,277.63519287109375,0.0,51860.21
2022-04-13,GOOGL,103.9232,128.7523193359375,13380.35,51860.21
2022-04-13,NVDA,8.6037,22.136850357055664,190.46,51860.21
2022-04-13,SPY,0.0,418.4147033691406,0.0,51860.21
2022-04-13,BOTZ,0.0,26.242448806762695,0.0,51860.21
2022-04-13,URA,1555.3517,24.61783790588379,38289.4,51860.21
2022-04-14,AAPL,0.0,161.79953002929688,0.0,51134.37
2022-04-14,MSFT,0.0,270.11566162109375,0.0,51134.37
2022-04-14,GOOGL,103.9232,125.61614990234375,13054.43,51134.37
2022-04-14,NVDA,8.6037,21.194664001464844,182.35,51134.37
2022-04-14,SPY,0.0,413.2047424316406,0.0,51134.37
2022-04-14,BOTZ,0.0,25.748615264892578,0.0,51134.37
2022-04-14,URA,1555.3517,24.36592674255371,37897.59,51134.37
2022-04-18,AAPL,0.0,161.5841827392578,0.0,50047.43
2022-04-18,MSFT,0.0,270.7817077636719,0.0,50047.43
2022-04-18,GOOGL,103.9232,126.5543212890625,13151.93,50047.43
2022-04-18,NVDA,8.6037,21.718103408813477,186.86,50047.43
2022-04-18,SPY,0.0,413.37457275390625,0.0,50047.43
2022-04-18,BOTZ,0.0,25.4819393157959,0.0,50047.43
2022-04-18,URA,1555.3517,23.601505279541016,36708.64,50047.43
2022-04-19,AAPL,0.0,163.86495971679688,0.0,49872.43
2022-04-19,MSFT,0.0,275.3957824707031,0.0,49872.43
