date,ticker,shares,price,value,total_value
2021-03-31,AAPL,210.3243,118.8640365600586,25000.0,50000.0
2021-03-31,MSFT,57.4627,226.23536682128906,13000.1,50000.0
2021-03-31,GOOGL,0.0,102.28065490722656,0.0,50000.0
2021-03-31,NVDA,0.0,13.314690589904785,0.0,50000.0
2021-03-31,ARKQ,144.4623,83.06595611572266,11999.9,50000.0
2021-04-01,AAPL,211.7761,119.6911849975586,25347.73,50695.47
2021-04-01,MSFT,77.3635,232.54930114746094,17990.82,50695.47
2021-04-01,GOOGL,0.0,105.61609649658203,0.0,50695.47
2021-04-01,NVDA,0.0,13.777024269104004,0.0,50695.47
2021-04-01,ARKQ,87.4112,84.1644058227539,7356.91,50695.47
2021-04-05,AAPL,211.7761,122.51317596435547,25945.37,51894.89
2021-04-05,MSFT,77.3635,238.9974822998047,18489.68,51894.89
2021-04-05,GOOGL,0.0,110.03852844238281,0.0,51894.89
2021-04-05,NVDA,0.0,13.952335357666016,0.0,51894.89
2021-04-05,ARKQ,87.4112,85.34200286865234,7459.85,51894.89
2021-04-06,AAPL,211.7761,122.8148193359375,26009.25,51887.98
2021-04-06,MSFT,77.3635,237.83642578125,18399.86,51887.98
2021-04-06,GOOGL,0.0,109.55751037597656,0.0,51887.98
2021-04-06,NVDA,0.0,13.826652526855469,0.0,51887.98
2021-04-06,ARKQ,87.4112,85.5597152709961,7478.88,51887.98
2021-04-07,AAPL,211.7761,124.45935821533203,26357.52,52234.58
2021-04-07,MSFT,77.3635,239.7939453125,18551.3,52234.58
2021-04-07,GOOGL,0.0,111.03380584716797,0.0,52234.58
2021-04-07,NVDA,0.0,14.107941627502441,0.0,52234.58
2021-04-07,ARKQ,87.4112,83.80814361572266,7325.77,52234.58
2021-04-08,AAPL,211.7761,126.85320281982422,26864.48,53091.44
2021-04-08,MSFT,77.3635,243.00851440429688,18799.99,53091.44
2021-04-08,GOOGL,0.0,111.59913635253906,0.0,53091.44
2021-04-08,NVDA,0.0,14.281005859375,0.0,53091.44
2021-04-08,ARKQ,87.4112,84.9659652709961,7426.98,53091.44
2021-04-09,AAPL,211.7761,129.4221954345703,27408.53,53782.65
2021-04-09,MSFT,77.3635,245.5032958984375,18992.99,53782.65
2021-04-09,GOOGL,0.0,112.60283660888672,0.0,53782.65
2021-04-09,NVDA,0.0,14.363797187805176,0.0,53782.65
2021-04-09,ARKQ,87.4112,84.44148254394531,7381.13,53782.65
2021-04-12,AAPL,211.7761,127.7094955444336,27045.82,53374.23
2021-04-12,MSFT,77.3635,245.56089782714844,18997.45,53374.23
2021-04-12,GOOGL,0.0,111.3110122680664,0.0,53374.23
2021-04-12,NVDA,0.0,15.17076301574707,0.0,53374.23
2021-04-12,ARKQ,87.4112,83.86751556396484,7330.96,53374.23
2021-04-13,AAPL,211.7761,130.813720703125,27703.22,54320.9
2021-04-13,MSFT,77.3635,248.03656005859375,19188.97,54320.9
2021-04-13,GOOGL,0.0,111.79749298095703,0.0,54320.9
2021-04-13,NVDA,0.0,15.640081405639648,0.0,54320.9
2021-04-13,ARKQ,87.4112,84.98574829101562,7428.7,54320.9
