date,fixed_total,bnh_total,eq_total
2021-03-31,50000.0,50000.0,50000.0
2021-04-01,50871.68,50871.68,51130.01
2021-04-05,52176.69,52177.77,52361.58
2021-04-06,52113.8,52112.92,52188.15
2021-04-07,52677.39,52675.11,52780.49
2021-04-08,53537.7,53533.81,53357.92
2021-04-09,54356.53,54349.82,53919.57
2021-04-12,53998.86,53995.97,54261.59
2021-04-13,54929.32,54922.43,55063.0
2021-04-14,54128.65,54123.73,54345.7
2021-04-15,55049.81,55043.86,55679.87
2021-04-16,55109.63,55105.75,55559.2
2021-04-19,55040.34,55032.84,55099.71
2021-04-20,54632.22,54627.89,54666.19
2021-04-21,54956.36,54953.71,55033.49
2021-04-22,54275.86,54272.84,54157.77
2021-04-23,55185.75,55181.97,55174.98
2021-04-26,55310.46,55306.25,55454.51
2021-04-27,55286.29,55283.24,55279.05
2021-04-28,54341.07,54331.74,55146.74
2021-04-29,54105.22,54093.89,55318.17
2021-04-30,53652.87,53645.48,54642.64
2021-05-03,53842.61,53832.58,54560.25
2021-05-04,52445.59,52441.15,53399.11
2021-05-05,52358.75,52352.34,53485.71
2021-05-06,53040.05,53033.67,53999.81
2021-05-07,53469.5,53464.6,54536.52
2021-05-10,52219.33,52215.89,53230.38
2021-05-11,51924.91,51922.45,52944.06
2021-05-12,50515.65,50512.07,51409.05
2021-05-13,51394.33,51390.42,51953.0
2021-05-14,52445.43,52441.76,53204.54
2021-05-17,51889.28,51884.91,52948.1
2021-05-18,51374.72,51371.12,52411.83
2021-05-19,51404.69,51402.08,52478.2
2021-05-20,52300.89,52296.33,53528.9
2021-05-21,51773.64,51771.67,53532.42
2021-05-24,52709.73,52710.28,54803.67
2021-05-25,52767.19,52769.18,54839.42
2021-05-26,52732.63,52734.48,54970.18
2021-05-27,52178.09,52180.92,54510.01
2021-05-28,52078.22,52082.89,55028.2
2021-06-01,51770.01,51772.91,55027.81
2021-06-02,51921.07,51922.19,55437.71
2021-06-03,51438.94,51441.59,55238.02
2021-06-04,52460.14,52463.28,56422.18
2021-06-07,52779.9,52786.29,56613.89
2021-06-08,52823.46,52826.72,56492.25
2021-06-09,53011.56,53015.08,56526.76
2021-06-10,53184.23,53193.89,56829.58
2021-06-11,53509.47,53517.19,57252.59
2021-06-14,54368.24,54371.44,57853.97
2021-06-15,54033.28,54036.62,57428.33
2021-06-16,54035.84,54037.03,57322.25
2021-06-17,54745.85,54747.35,58331.7
2021-06-18,54315.7,54318.45,57844.35
2021-06-21,55033.48,55035.77,58288.14
2021-06-22,55684.46,55686.29,58999.85
2021-06-23,55601.22,55603.39,59061.81
2021-06-24,55690.51,55694.83,59308.93
2021-06-25,55452.69,55455.84,59121.63
2021-06-28,56187.87,56191.47,60155.18
2021-06-29,56790.86,56794.06,60407.77
2021-06-30,56868.76,56870.07,60411.37
2021-07-01,57006.63,57008.03,60717.96
2021-07-02,58064.36,58202.51,61757.87
2021-07-06,58656.43,58625.9,62156.14
2021-07-07,59040.14,59389.95,62283.18
2021-07-08,58281.92,58850.51,61487.69
2021-07-09,58809.09,59289.17,61936.14
2021-07-12,59011.22,59098.22,62386.91
2021-07-13,59217.66,59720.91,62437.06
2021-07-14,59702.37,60603.12,62587.13
2021-07-15,58815.19,60308.46,61656.23
2021-07-16,57744.13,59850.23,60779.82
2021-07-19,57228.5,58644.99,60368.18
2021-07-20,57976.06,59649.04,60956.46
2021-07-21,58536.92,59716.34,61799.59
2021-07-22,59194.33,60507.12,62361.42
2021-07-23,59698.84,61243.12,63187.67
2021-07-26,59554.3,61265.39,63125.01
