date,fixed_total,bnh_total,eq_total
2025-05-05,50000.0,50000.0,50000.0
2025-05-06,49672.15,49672.15,49747.46
2025-05-07,49676.73,49676.73,49264.07
2025-05-08,50229.27,50229.27,49710.15
2025-05-09,50293.47,50293.47,49606.08
2025-05-12,51500.56,51500.56,51714.4
2025-05-13,51486.81,51486.81,52561.72
2025-05-14,51922.42,51922.42,53462.9
2025-05-15,52039.56,52039.56,53362.28
2025-05-16,52170.48,52170.48,53631.15
2025-05-19,52698.76,52698.76,53659.74
2025-05-20,52618.38,52618.38,53251.06
2025-05-21,51608.15,51975.25,52757.24
2025-05-22,52011.46,52238.24,53008.34
2025-05-23,51408.45,51700.77,52242.16
2025-05-27,53056.93,52907.78,53585.58
2025-05-28,52786.76,52525.35,53365.47
2025-05-29,54501.81,52676.95,53767.67
2025-05-30,52912.06,52869.88,53475.85
2025-06-02,53793.09,53054.79,53647.19
2025-06-03,55296.69,53169.63,53972.99
2025-06-04,55570.78,53272.99,54143.55
2025-06-05,54815.07,53710.54,53909.88
2025-06-06,55492.47,54020.63,54730.7
2025-06-09,55848.79,54292.81,54910.07
2025-06-10,56369.57,54082.65,55259.68
2025-06-11,55930.98,54277.88,54897.74
2025-06-12,56780.74,54995.66,55194.91
2025-06-13,55594.22,54546.61,54517.84
2025-06-16,56659.35,55026.67,55180.86
2025-06-17,56436.13,54900.34,54824.16
2025-06-18,56782.95,55153.0,54879.56
2025-06-20,55941.61,54826.84,54461.45
2025-06-23,55987.23,55814.5,54728.34
2025-06-24,57319.11,56286.51,55304.4
2025-06-25,59803.34,56534.58,56225.11
2025-06-26,60078.5,57129.48,56637.19
2025-06-27,61136.52,56956.06,57204.76
2025-06-30,61229.54,57124.88,57377.62
2025-07-01,59411.91,56509.31,56948.5
2025-07-02,60942.74,56399.06,57726.66
2025-07-03,61752.73,57289.11,58285.49
2025-07-07,61326.42,57160.48,57731.87
2025-07-08,62008.52,57034.15,57710.05
2025-07-09,63124.67,57825.43,58382.25
2025-07-10,63597.48,57592.3,58599.05
2025-07-11,63915.28,57803.61,58767.97
2025-07-14,63585.86,57769.16,58663.23
2025-07-15,66155.33,58090.73,59314.06
2025-07-16,66415.0,58067.76,59517.36
2025-07-17,67046.71,58766.01,59898.36
2025-07-18,66818.06,58576.52,59949.08
2025-07-21,66418.87,58577.66,60252.73
2025-07-22,64733.02,58027.56,59934.37
2025-07-23,66186.34,58096.46,60292.59
2025-07-24,67333.5,58671.84,60770.13
2025-07-25,67240.48,58996.85,60929.37
2025-07-28,68500.03,58857.88,61156.27
2025-07-29,68019.47,58865.92,61072.34
2025-07-30,69476.67,58942.87,61339.65
2025-07-31,68934.09,61269.62,61282.82
2025-08-01,67325.75,60191.23,60087.94
2025-08-04,69759.58,61515.4,61481.93
2025-08-05,69085.24,60609.27,61046.65
2025-08-06,69534.8,60286.56,61776.29
2025-08-07,70058.0,59815.7,62158.86
2025-08-08,70805.97,59953.5,63211.72
2025-08-11,70557.93,59922.49,63004.98
2025-08-12,70984.25,60780.38,63660.87
2025-08-13,70420.12,59785.84,63464.51
2025-08-14,70648.15,60004.04,63579.03
2025-08-15,70369.82,59738.75,63359.7
2025-08-18,70714.03,59386.17,63364.09
2025-08-19,68873.3,58544.36,62439.62
2025-08-20,67514.11,58079.25,61928.73
2025-08-21,67182.53,58004.46,61801.58
2025-08-22,68036.88,58348.42,62839.26
2025-08-25,67857.65,58006.77,62996.39
2025-08-26,68499.9,57751.4,63191.46
2025-08-27,68612.33,58292.05,63391.02
2025-08-28,69988.02,58625.65,63730.83
2025-08-29,70407.99,58286.3,63124.03
2025-09-02,69892.11,58105.7,62487.01
2025-09-03,76277.81,58132.16,64158.38
2025-09-04,76696.83,58433.54,64571.81
2025-09-05,76668.05,56941.56,63992.35
2025-09-08,76089.1,57309.67,64070.62
2025-09-09,74959.98,57333.82,64480.63
2025-09-10,74816.08,57559.29,64727.34
2025-09-11,75191.46,57632.91,65061.89
2025-09-12,75325.97,58655.56,65549.48
2025-09-15,78707.51,59283.64,66523.48
2025-09-16,78566.74,58556.63,66155.32
2025-09-17,78056.85,58669.36,65702.82
2025-09-18,78838.89,58488.76,66340.96
2025-09-19,79680.37,59579.28,67203.45
2025-09-22,78995.3,59178.96,68188.85
2025-09-23,78723.15,58578.49,67412.55
2025-09-24,77309.22,58684.31,66885.08
2025-09-25,76886.92,58325.41,66969.58
2025-09-26,77121.53,58835.01,67157.42
2025-09-29,76342.62,59196.21,67380.59
2025-09-30,76045.45,59581.58,67870.01
2025-10-01,76608.52,59784.04,68160.18
2025-10-02,76855.64,59327.35,68360.46
2025-10-03,76749.29,59512.55,68309.84
2025-10-06,78338.38,60803.23,68671.01
2025-10-07,76877.54,60275.23,68181.47
2025-10-08,78568.48,60375.3,68640.38
2025-10-09,80005.99,60093.48,68462.06
